GENESIS-Tabelle: 46251-0006
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz insgesamt;Krafträder insgesamt;Leichtkrafträder;Motorräder;Pkw insgesamt;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse insgesamt;Lkw insgesamt;Lkw mit Spezialaufbau;Zugmaschinen insgesamt;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger insgesamt;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2013;06533;Limburg-Weilburg, Landkreis;123228;10055;-;9546;102346;68424;32294;246;5383;151;4570;-;405;4165;628;700;14243;10675;570
01.01.2013;06534;Marburg-Biedenkopf, Landkreis;159389;12296;-;11786;130952;92020;37144;360;5858;186;9165;-;339;8826;758;937;18222;13819;478
01.01.2013;06535;Vogelsbergkreis;87846;7464;-;6799;66920;46354;19583;164;3430;140;9267;-;197;9070;601;515;12990;10352;297
01.01.2013;06611;Kassel, kreisfreie Stadt;95994;6093;-;5899;82249;57536;23438;427;5859;321;891;-;320;571;475;898;7298;4737;398
01.01.2013;06631;Fulda, Landkreis;162045;14777;-;13918;127003;86521;38625;302;7585;301;11645;-;475;11170;733;1023;20844;16286;757
01.01.2013;06632;Hersfeld-Rotenburg, Landkreis;93114;8210;-;7703;73194;52037;19914;57;3852;542;7215;-;393;6822;586;524;13209;10542;505
01.01.2013;06633;Kassel, Landkreis;166295;15153;-;14451;136360;98797;35463;219;6379;377;7441;-;609;6832;743;1703;22725;17020;1088
01.01.2013;06634;Schwalm-Eder-Kreis;137652;13072;-;12285;109025;76962;30007;166;4842;208;9784;-;655;9129;763;1029;20995;16693;767
01.01.2013;06635;Waldeck-Frankenberg, Landkreis;122301;10685;-;10101;95557;66604;27235;188;4881;215;10358;-;361;9997;632;717;17992;13843;584
01.01.2013;06636;Werra-Meißner-Kreis;75189;6801;-;6281;59282;41839;16460;110;2880;130;5670;-;174;5496;446;561;10793;8354;261
01.01.2013;07111;Koblenz, kreisfreie Stadt;65885;4230;-;4082;56029;37939;17447;281;4285;163;687;-;159;528;373;433;5123;3399;159
01.01.2013;07131;Ahrweiler, Landkreis;93971;7865;-;7497;76134;53304;21641;162;4190;134;5188;-;292;4896;432;612;11657;8914;380
01.01.2013;07132;Altenkirchen (Westerwald), Landkreis;93506;8280;-;7878;76126;54095;20910;276;3764;123;4655;-;299;4356;405;620;12566;9947;525
01.01.2013;07133;Bad Kreuznach, Landkreis;111681;8573;-;8173;90654;63732;25668;134;5185;172;6558;-;414;6144;577;719;14990;11711;684
01.01.2013;07134;Birkenfeld, Landkreis;59045;4470;-;4167;48967;35485;13021;116;2342;57;2836;-;90;2746;314;349;9565;7766;226
01.01.2013;07135;Cochem-Zell, Landkreis;50546;4281;-;3933;38563;24672;13283;74;2099;48;5273;-;106;5167;256;238;8037;6606;142
01.01.2013;07137;Mayen-Koblenz, Landkreis;149722;11959;-;11424;124599;87623;35438;183;6841;266;5496;-;619;4877;644;874;19247;14799;975
01.01.2013;07138;Neuwied, Landkreis;129786;10609;-;10160;107507;74820;30616;173;6211;222;4723;-;605;4118;563;833;16358;12538;978
01.01.2013;07140;Rhein-Hunsrück-Kreis;79461;6404;-;5945;62597;39814;21917;248;3627;169;6126;-;295;5831;459;489;13015;10443;469
01.01.2013;07141;Rhein-Lahn-Kreis;90177;7956;-;7521;73690;52044;20568;125;3561;77;4402;-;98;4304;443;655;11322;8638;176
01.01.2013;07143;Westerwaldkreis;150988;12740;-;12089;122356;82494;38025;232;7265;189;7611;-;726;6885;784;920;21019;16101;1166
01.01.2013;07211;Trier, kreisfreie Stadt;168750;14652;-;14017;136178;89331;46066;287;7309;278;9554;-;317;9237;770;860;19271;15195;437
01.01.2013;07231;Bernkastel-Wittlich, Landkreis;88406;6774;-;6327;67874;44365;23046;193;4198;228;8813;-;324;8489;554;406;13438;10776;473
01.01.2013;07232;Eifelkreis Bitburg-Prüm;78835;6393;-;5889;58253;34536;23335;264;3762;181;9597;-;245;9352;566;341;13181;10916;434
01.01.2013;07233;Vulkaneifel, Landkreis;49735;4439;-;4119;37222;23593;13153;119;2397;86;5260;-;225;5035;298;275;8513;7020;357
01.01.2013;07235;Trier-Saarburg, Landkreis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.01.2013;07311;Frankenthal (Pfalz), kreisfreie Stadt;28465;1916;-;1880;24668;17918;6488;40;1221;48;478;-;139;339;142;121;2107;1483;223
01.01.2013;07312;Kaiserslautern, kreisfreie Stadt;54815;3336;-;3227;47840;34687;12559;126;2780;56;358;-;48;310;375;246;4250;2976;75
01.01.2013;07313;Landau in der Pfalz, kreisfreie Stadt;28653;1953;-;1902;24418;17525;6648;-;1235;45;866;-;65;801;181;205;2705;1970;131
01.01.2013;07314;Ludwigshafen am Rhein, kreisfreie Stadt;87438;6189;-;5988;75468;54920;19701;276;4179;130;696;-;259;437;630;412;5511;3973;410
01.01.2013;07315;Mainz, kreisfreie Stadt;107004;6798;-;6636;92947;62571;29414;418;5033;137;1028;-;147;881;780;601;5679;3621;367
01.01.2013;07316;Neustadt an der Weinstraße, kreisfreie Stadt;36064;2495;-;2420;30360;21466;8607;8;1829;68;1197;-;101;1096;175;254;3331;2502;86
01.01.2013;07317;Pirmasens, kreisfreie Stadt;25403;1626;-;1567;21911;15915;5802;36;1309;40;341;-;53;288;180;112;2745;2106;83
01.01.2013;07318;Speyer, kreisfreie Stadt;31482;2326;-;2264;26966;19124;7466;163;1590;62;275;-;96;179;162;201;2786;1914;112
01.01.2013;07319;Worms, kreisfreie Stadt;48969;3778;-;3656;41450;30289;10724;16;2320;116;1196;-;245;951;209;268;5083;3592;794
01.01.2013;07320;Zweibrücken, kreisfreie Stadt;23409;1728;-;1661;19972;14530;5206;22;1065;37;451;-;75;376;171;161;2862;2224;103
01.01.2013;07331;Alzey-Worms, Landkreis;97008;8534;-;8184;76913;51324;24555;27;3934;92;7165;-;164;7001;435;631;11576;8716;291
01.01.2013;07332;Bad Dürkheim, Landkreis;98544;7880;-;7649;82249;57741;23461;106;3645;130;4285;-;209;4076;379;655;10728;8191;308
01.01.2013;07333;Donnersbergkreis;56488;4728;-;4471;45701;31135;13940;77;2050;64;3671;-;154;3517;261;302;8525;6807;211
01.01.2013;07334;Germersheim, Landkreis;90229;7208;-;7021;74656;51522;22410;81;3639;221;4223;-;658;3565;422;531;12329;9862;1399
01.01.2013;07335;Kaiserslautern, Landkreis;75896;6177;-;5947;63117;45396;16999;160;3353;164;2731;-;125;2606;358;405;12114;9742;150
01.01.2013;07336;Kusel, Landkreis;54650;4638;-;4371;44843;32407;11947;28;1741;53;3174;-;25;3149;226;358;9605;7969;63
01.01.2013;07337;Südliche Weinstraße, Landkreis;88298;7246;-;6990;69253;48381;20194;211;3679;108;7482;-;173;7309;427;641;10825;8462;247
01.01.2013;07338;Rhein-Pfalz-Kreis;109782;9489;-;9246;92303;68130;23090;65;4325;188;3224;-;467;2757;376;685;11221;8399;657
01.01.2013;07339;Mainz-Bingen, Landkreis;151613;12770;-;12314;125401;84864;38875;39;5395;142;7446;-;381;7065;562;1005;15414;11301;632
01.01.2013;07340;Südwestpfalz, Landkreis;76997;6844;-;6598;62905;44307;17993;170;2806;69;4021;-;107;3914;251;487;11688;9610;188
01.01.2013;08111;Stuttgart, kreisfreie Stadt;319631;21214;-;20732;281351;182981;95234;650;12613;512;2585;-;728;1857;1218;1748;16376;10441;746
01.01.2013;08115;Böblingen, Landkreis;262524;20138;-;19721;226401;148009;76176;234;8117;311;6871;-;309;6562;763;2020;24604;17964;406
01.01.2013;08116;Esslingen, Landkreis;354624;29646;-;28894;298867;203710;92674;296;14365;633;10164;-;810;9354;1286;2673;37208;27444;1185
01.01.2013;08117;Göppingen, Landkreis;178872;15084;-;14711;147807;100212;46154;182;7683;263;7448;-;451;6997;668;1356;20580;15181;659
01.01.2013;08118;Ludwigsburg, Landkreis;351489;28181;-;27603;297577;209559;85312;199;13947;623;10501;-;814;9687;1084;2351;33446;24683;1240
01.01.2013;08119;Rems-Murr-Kreis;287775;24199;-;23619;237500;164851;70492;316;12756;424;12024;-;618;11406;980;2050;33350;25463;911
01.01.2013;08121;Heilbronn, kreisfreie Stadt;70279;4159;-;4020;60698;42161;17849;116;3392;160;1581;-;622;959;333;319;5840;4385;694
01.01.2013;08125;Heilbronn, Landkreis;255493;20932;-;20271;208773;139013;67841;218;10256;370;14465;-;937;13528;849;1591;33191;26413;1525
01.01.2013;08126;Hohenlohekreis;93081;7953;-;7675;72287;42323;29168;105;3452;182;8849;-;345;8504;435;432;12861;10576;546
01.01.2013;08127;Schwäbisch Hall, Landkreis;146979;12500;-;12057;112668;72166;39017;250;6227;406;14708;-;457;14251;626;863;23240;18907;671
01.01.2013;08128;Main-Tauber-Kreis;105730;9037;-;8696;80749;53204;26529;125;4119;169;11272;-;110;11162;428;528;14439;11910;199
01.01.2013;08135;Heidenheim, Landkreis;90087;7472;-;7261;74344;50630;22770;112;3177;204;4595;-;237;4358;387;700;12305;9329;394
01.01.2013;08136;Ostalbkreis;225026;19034;-;18527;181845;120194;59756;301;8379;421;14605;-;654;13951;862;1793;31280;24304;1110
01.01.2013;08211;Baden-Baden, kreisfreie Stadt;37377;2630;-;2578;31608;21284;10080;59;1960;40;932;-;107;825;188;229;3541;2750;218
01.01.2013;08212;Karlsruhe, kreisfreie Stadt;155878;11064;-;10824;133429;89095;42688;322;8632;339;1374;-;432;942;1057;1240;12210;8413;464
01.01.2013;08215;Karlsruhe, Landkreis;302044;25779;-;25025;251580;176716;72375;167;12703;422;10693;-;882;9811;1122;2066;41574;32905;1548
01.01.2013;08216;Rastatt, Landkreis;164445;14131;-;13792;136462;95437;39948;105;6506;288;6597;-;578;6019;644;1264;24695;20009;1120
01.01.2013;08221;Heidelberg, kreisfreie Stadt;64437;4305;-;4215;56236;38105;17600;76;2877;56;635;-;52;583;308;499;3906;2607;71
01.01.2013;08222;Mannheim, kreisfreie Stadt;163319;10948;-;10586;141368;98545;41473;247;8931;320;1032;-;393;639;793;867;10394;6557;684
01.01.2013;08225;Neckar-Odenwald-Kreis;105704;8661;-;8264;84350;56277;27141;95;4252;265;7856;-;237;7619;490;600;17536;14313;303
01.01.2013;08226;Rhein-Neckar-Kreis;371366;28680;-;27853;317371;220641;93785;195;14436;435;9334;-;817;8517;1350;2522;34401;25691;1006
01.01.2013;08231;Pforzheim, kreisfreie Stadt;62230;3847;-;3711;55005;38491;15956;122;2475;91;495;-;48;447;286;366;4501;3275;70
01.01.2013;08235;Calw, Landkreis;111730;8869;-;8579;90728;59389;30443;209;4664;236;6685;-;365;6320;575;862;17036;13437;574
01.01.2013;08236;Enzkreis;142305;13452;-;13087;116839;82234;33446;112;5380;242;6004;-;422;5582;518;1146;20830;16411;797
01.01.2013;08237;Freudenstadt, Landkreis;84928;7094;-;6824;67584;42619;24313;130;3482;160;6213;-;190;6023;425;505;13343;10999;381
01.01.2013;08311;Freiburg im Breisgau, kreisfreie Stadt;102168;7427;-;7279;87093;56580;29314;378;5556;150;1261;-;57;1204;453;1638;7218;4393;83
01.01.2013;08315;Breisgau-Hochschwarzwald, Landkreis;177382;14628;-;14180;140239;95162;43836;201;8501;316;12965;-;485;12480;848;1931;23753;18248;884
01.01.2013;08316;Emmendingen, Landkreis;112126;9760;-;9511;88497;61798;25847;81;5112;142;8181;-;214;7967;495;1083;15227;11805;328
01.01.2013;08317;Ortenaukreis;303375;25814;-;25043;242025;167232;72916;411;14199;552;19630;-;1291;18339;1296;2224;44096;35238;1950
01.01.2013;08325;Rottweil, Landkreis;105481;9331;-;9004;83310;54167;28495;105;4137;203;8059;-;514;7545;539;803;17041;13482;762
01.01.2013;08326;Schwarzwald-Baar-Kreis;143731;12204;-;11853;117787;80259;36497;135;6002;242;7016;-;275;6741;587;1129;17516;13164;441
01.01.2013;08327;Tuttlingen, Landkreis;95024;8289;-;8006;76641;49633;26412;83;3633;117;5959;-;222;5737;419;778;14229;10981;356
01.01.2013;08335;Konstanz, Landkreis;175594;16967;-;16522;143427;106098;35843;160;6985;332;7323;-;292;7031;732;1828;21604;14358;691
01.01.2013;08336;Lörrach, Landkreis;151995;13287;-;12884;123959;91505;31534;96;6426;263;7575;-;135;7440;652;1354;16989;12621;357
01.01.2013;08337;Waldshut, Landkreis;121332;10309;-;9953;95810;69729;25498;132;5033;266;9497;-;357;9140;551;876;16470;12498;517
01.01.2013;08415;Reutlingen, Landkreis;198850;16483;-;16048;161117;106750;52623;234;8674;390;11585;-;464;11121;757;1665;29116;22756;1222
01.01.2013;08416;Tübingen, Landkreis;134525;11224;-;10978;111679;72139;38177;163;4544;166;6459;-;218;6241;456;1253;18190;14168;316
01.01.2013;08417;Zollernalbkreis;143189;11426;-;10998;114784;75648;38019;155;6279;296;9840;-;303;9537;705;917;21975;17529;528
01.01.2013;08421;Ulm, kreisfreie Stadt;70311;4811;-;4693;60271;37919;21703;305;3331;170;1212;-;243;969;381;566;6229;4398;458
01.01.2013;08425;Alb-Donau-Kreis;143765;12669;-;12204;111993;73120;37847;184;5363;240;12922;-;422;12500;634;972;23369;18209;615
01.01.2013;08426;Biberach, Landkreis;146943;12923;-;12427;112605;72638;38915;171;6467;289;14019;-;686;13333;758;986;25288;19815;1057
01.01.2013;08435;Bodenseekreis;154645;16950;-;16589;122118;83228;37773;163;5839;190;8920;-;225;8695;655;1606;17834;12204;358
01.01.2013;08436;Ravensburg, Landkreis;203551;19565;-;18953;157346;102231;53769;247;9349;573;16121;-;761;15360;923;1923;30386;22920;1063
01.01.2013;08437;Sigmaringen, Landkreis;98813;9025;-;8700;75588;48479;26216;118;4111;192;9469;-;303;9166;502;675;17498;13885;566
01.01.2013;09161;Ingolstadt, kreisfreie Stadt;99007;7176;-;6989;87215;52132;34114;163;2646;97;1412;-;160;1252;395;591;7552;5723;201
01.01.2013;09162;München, kreisfreie Stadt;771625;55889;-;54883;674394;414201;254025;1204;31259;700;4198;-;642;3556;4681;6730;38857;23343;767
01.01.2013;09163;Rosenheim, kreisfreie Stadt;37614;3220;-;3145;31630;20564;10792;36;1900;62;578;-;56;522;250;379;3244;1981;65
01.01.2013;09171;Altötting, Landkreis;79471;7704;-;7425;62740;42949;19197;140;3054;148;5357;-;187;5170;476;601;11721;8924;353
01.01.2013;09172;Berchtesgadener Land, Landkreis;72639;6908;-;6687;58076;39251;18437;88;2774;128;4411;-;161;4250;382;826;8524;6418;276
01.01.2013;09173;Bad Tölz-Wolfratshausen, Landkreis;91264;8574;-;8281;72020;45308;25993;58;4065;136;6107;-;90;6017;440;1099;11200;8341;172
01.01.2013;09174;Dachau, Landkreis;98469;9955;-;9640;78584;52714;24997;136;4070;123;5277;-;268;5009;447;943;12591;9711;417
01.01.2013;09175;Ebersberg, Landkreis;90018;7940;-;7724;72907;46822;25418;144;3637;237;5057;-;284;4773;333;821;9470;6875;335
01.01.2013;09176;Eichstätt, Landkreis;95955;10603;-;10111;72269;45788;25794;114;3267;224;9277;-;341;8936;425;694;16058;13037;481
01.01.2013;09177;Erding, Landkreis;99292;8862;-;8471;76352;49195;26348;142;4296;326;9089;-;233;8856;551;614;12964;10075;339
01.01.2013;09178;Freising, Landkreis;121538;11349;-;10969;95361;59076;35217;164;6043;254;8004;-;430;7574;617;945;14115;10999;681
01.01.2013;09179;Fürstenfeldbruck, Landkreis;133061;12280;-;11978;110741;75510;34112;106;5495;146;3950;-;73;3877;489;1648;14356;10051;107
01.01.2013;09180;Garmisch-Partenkirchen, Landkreis;60796;6343;-;6148;47292;31936;14875;50;2683;91;4143;-;122;4021;285;1024;7470;5701;184
01.01.2013;09181;Landsberg am Lech, Landkreis;89509;9097;-;8784;69828;44167;24753;103;3160;89;6967;-;89;6878;354;999;13313;9824;208
01.01.2013;09182;Miesbach, Landkreis;73237;6730;-;6521;58301;36732;20976;65;3352;128;4450;-;147;4303;339;721;9035;6595;196
01.01.2013;09183;Mühldorf am Inn, Landkreis;84503;7803;-;7336;63934;42976;20262;131;3817;188;8356;-;213;8143;462;607;13370;10542;364
01.01.2013;09184;München, Landkreis;260079;18927;-;18568;221388;129842;89862;299;13793;434;4094;-;422;3672;1578;2302;18276;12057;673
01.01.2013;09185;Neuburg-Schrobenhausen, Landkreis;74126;7275;-;6896;55857;36421;18849;102;3239;172;7299;-;236;7063;354;441;13222;10835;472
01.01.2013;09186;Pfaffenhofen an der Ilm, Landkreis;94110;9944;-;9593;71380;44649;25745;52;3945;354;8379;-;469;7910;410;602;14808;11962;631
01.01.2013;09187;Rosenheim, Landkreis;190115;17336;-;16804;148598;96410;50814;234;8779;360;14388;-;850;13538;780;1943;26760;19290;1464
01.01.2013;09188;Starnberg, Landkreis;95549;8646;-;8461;79926;50825;28415;75;3439;90;2999;-;83;2916;464;997;10744;6881;117
01.01.2013;09189;Traunstein, Landkreis;133055;11933;-;11466;102431;67526;33970;172;5411;300;12350;-;457;11893;758;1428;19750;14711;803
01.01.2013;09190;Weilheim-Schongau, Landkreis;101081;9977;-;9620;77472;50834;25789;97;3942;188;9189;-;115;9074;404;1416;14272;10536;182
01.01.2013;09261;Landshut, kreisfreie Stadt;38138;3008;-;2944;32684;21397;10924;59;1588;84;635;-;30;605;164;264;3389;2351;38
01.01.2013;09262;Passau, kreisfreie Stadt;30837;2642;-;2565;25459;16913;8340;76;1736;130;714;-;97;617;210;201;3718;2598;151
01.01.2013;09263;Straubing, kreisfreie Stadt;29693;2101;-;1975;24520;16668;7619;41;2224;121;644;-;79;565;163;151;2941;2050;103
01.01.2013;09271;Deggendorf, Landkreis;92014;8478;-;7891;69330;45078;23243;189;4403;224;9114;-;379;8735;500;411;14610;11602;785
01.01.2013;09272;Freyung-Grafenau, Landkreis;66554;7124;-;6502;46564;29868;16318;139;2307;99;10071;-;110;9961;349;291;10067;8271;206
01.01.2013;09273;Kelheim, Landkreis;90744;8722;-;8242;69284;43241;24911;204;3565;151;8535;-;314;8221;434;459;13598;11074;531
01.01.2013;09274;Landshut, Landkreis;123920;11663;-;11036;93325;58952;33129;202;5501;245;12644;-;399;12245;585;706;20343;16376;641
01.01.2013;09275;Passau, Landkreis;150120;14468;-;13482;111954;76632;34443;295;6052;311;16617;-;474;16143;734;657;25375;20840;697
01.01.2013;09276;Regen, Landkreis;61711;5918;-;5366;44933;29340;15150;100;2190;99;8277;-;58;8219;293;244;9545;7960;137
01.01.2013;09277;Rottal-Inn, Landkreis;102740;9425;-;8683;73519;48140;24653;181;4421;194;14626;-;234;14392;568;536;18049;14908;453
01.01.2013;09278;Straubing-Bogen, Landkreis;83430;7697;-;6958;60080;39660;19731;115;3037;147;12141;-;241;11900;360;326;14472;12052;368
01.01.2013;09279;Dingolfing-Landau, Landkreis;76092;7240;-;6811;56727;35978;20018;138;2864;129;8773;-;403;8370;350;410;13674;11384;673
01.01.2013;09361;Amberg, kreisfreie Stadt;26858;2070;-;2007;23047;15939;6863;43;1061;34;524;-;68;456;113;163;2579;1919;115
01.01.2013;09362;Regensburg, kreisfreie Stadt;86389;6467;-;6315;70842;44329;25465;397;7104;177;1150;-;409;741;429;487;6035;4231;660
01.01.2013;09363;Weiden in der Oberpfalz, kreisfreie Stadt;28958;2134;-;2033;24230;16640;7359;53;1786;116;624;-;114;510;131;166;3187;2359;120
01.01.2013;09371;Amberg-Sulzbach, Landkreis;84906;8432;-;7961;63641;43105;19834;192;2863;128;9416;-;213;9203;362;435;12881;10552;420
01.01.2013;09372;Cham, Landkreis;112195;11557;-;10577;79031;53497;24519;159;4722;395;16046;-;243;15803;680;321;18725;15819;379
01.01.2013;09373;Neumarkt in der Oberpfalz, Landkreis;104212;10546;-;9974;76977;49914;26204;187;4720;166;11252;-;392;10860;530;545;15681;12518;698
01.01.2013;09374;Neustadt an der Waldnaab, Landkreis;79655;7740;-;7183;59094;40676;17854;87;2452;146;9873;-;300;9573;409;328;12776;10736;474
01.01.2013;09375;Regensburg, Landkreis;145723;15746;-;14947;112591;73773;36926;168;5140;260;11441;-;787;10654;637;805;20994;17125;968
01.01.2013;09376;Schwandorf, Landkreis;120017;13086;-;12374;89085;58439;29115;141;4268;213;12828;-;958;11870;609;448;20588;17314;1163
01.01.2013;09377;Tirschenreuth, Landkreis;61245;5994;-;5529;45111;32295;12469;85;2200;121;7466;-;189;7277;389;201;9783;8361;274
01.01.2013;09461;Bamberg, kreisfreie Stadt;44168;3857;-;3769;36465;24205;11828;111;2597;91;768;-;344;424;370;368;3719;2556;438
01.01.2013;09462;Bayreuth, kreisfreie Stadt;42637;2947;-;2831;36077;24576;11056;64;2620;93;643;-;103;540;286;262;3380;2401;141
01.01.2013;09463;Coburg, kreisfreie Stadt;27315;2111;-;2056;23397;15591;7540;66;1278;53;313;-;41;272;150;158;2150;1522;72
01.01.2013;09464;Hof, kreisfreie Stadt;27469;2053;-;1974;23208;16981;6012;57;1371;60;584;-;126;458;196;120;2615;1896;146
01.01.2013;09471;Bamberg, Landkreis;118229;11800;-;11271;90607;62407;27213;145;4563;261;10719;-;216;10503;395;773;15703;12661;332
01.01.2013;09472;Bayreuth, Landkreis;88648;8462;-;7843;65519;45188;19616;215;2991;167;10871;-;170;10701;590;449;11680;9732;250
01.01.2013;09473;Coburg, Landkreis;67098;6124;-;5861;53145;39069;13438;51;2587;195;4886;-;338;4548;305;287;9022;7283;483
01.01.2013;09474;Forchheim, Landkreis;91251;8773;-;8344;70721;48424;21502;139;3002;97;8234;-;193;8041;382;658;10469;8338;275
01.01.2013;09475;Hof, Landkreis;75823;6146;-;5875;59254;41971;16588;95;3204;306;6624;-;333;6291;500;300;11331;9404;461
01.01.2013;09476;Kronach, Landkreis;54296;4827;-;4508;42412;29727;12291;61;2368;120;4259;-;203;4056;369;189;8239;6822;257
01.01.2013;09477;Kulmbach, Landkreis;59320;5088;-;4867;45860;31407;13877;83;2528;110;5484;-;304;5180;277;347;8598;7074;494
01.01.2013;09478;Lichtenfels, Landkreis;53041;5055;-;4834;40595;29002;11223;83;2256;154;4771;-;143;4628;281;210;7331;6103;229
01.01.2013;09479;Wunsiedel im Fichtelgebirge, Landkreis;55502;4987;-;4775;44355;31986;11942;75;1883;102;3944;-;106;3838;258;256;7624;6230;147
01.01.2013;09561;Ansbach, kreisfreie Stadt;26989;1995;-;1934;22442;14872;7276;28;1132;69;1246;-;177;1069;146;167;3045;2264;209
01.01.2013;09562;Erlangen, kreisfreie Stadt;59224;4835;-;4732;51268;34308;16477;58;2113;69;709;-;29;680;241;655;4042;2534;92
01.01.2013;09563;Fürth, kreisfreie Stadt;65502;5388;-;5221;56230;39488;16234;103;2871;89;654;-;116;538;256;551;4622;2997;118
01.01.2013;09564;Nürnberg, kreisfreie Stadt;269274;20552;-;20047;228167;154140;71993;571;16221;742;2727;-;935;1792;1036;2098;19724;12843;1141
01.01.2013;09565;Schwabach, kreisfreie Stadt;27298;2503;-;2433;23112;16339;6569;23;1074;38;490;-;46;444;96;268;2442;1721;53
01.01.2013;09571;Ansbach, Landkreis;152220;13309;-;12709;110441;73385;35760;233;5966;376;21469;-;574;20895;802;909;23917;19380;930
01.01.2013;09572;Erlangen-Höchstadt, Landkreis;100848;9359;-;9058;82701;55101;26754;115;3165;135;5165;-;248;4917;343;918;10968;8154;308
01.01.2013;09573;Fürth, Landkreis;84401;8403;-;8121;69307;49457;19285;59;3241;106;3107;-;83;3024;284;757;7967;5605;102
01.01.2013;09574;Nürnberger Land, Landkreis;123516;11855;-;11515;98904;67668;30310;66;4717;241;7450;-;264;7186;524;1146;13155;9762;339
01.01.2013;09575;Neustadt an der Aisch-Bad Windsheim, Landkreis;81631;6984;-;6567;59345;38025;20610;128;3305;134;11469;-;260;11209;400;504;12435;9791;355
01.01.2013;09576;Roth, Landkreis;100774;10305;-;9939;77241;50934;25601;135;4173;252;8441;-;422;8019;479;822;13848;10653;656
01.01.2013;09577;Weißenburg-Gunzenhausen, Landkreis;74985;6674;-;6273;55290;37200;17544;106;2739;147;9830;-;287;9543;346;560;11785;9334;446
01.01.2013;09661;Aschaffenburg, kreisfreie Stadt;47340;3157;-;3048;40511;26380;13614;83;2880;127;451;-;108;343;258;266;3679;2615;137
01.01.2013;09662;Schweinfurt, kreisfreie Stadt;30334;2003;-;1929;26304;17401;8513;51;1519;91;270;-;117;153;187;307;2674;1855;155
01.01.2013;09663;Würzburg, kreisfreie Stadt;71342;5487;-;5361;59355;39279;19082;126;5246;164;710;-;93;617;418;565;5478;3665;195
01.01.2013;09671;Aschaffenburg, Landkreis;130444;10505;-;10088;107603;73824;32511;146;6514;365;5054;-;267;4787;622;814;16782;13531;414
01.01.2013;09672;Bad Kissingen, Landkreis;82882;7146;-;6798;63958;42531;20390;167;3204;150;7986;-;267;7719;421;668;13199;10762;450
01.01.2013;09673;Rhön-Grabfeld, Landkreis;64937;5806;-;5363;49604;31949;16840;106;2475;173;6595;-;98;6497;351;452;11409;9491;174
01.01.2013;09674;Haßberge, Landkreis;70296;6320;-;5928;53190;34025;18340;115;2731;132;7543;-;173;7370;397;511;10857;8822;314
01.01.2013;09675;Kitzingen, Landkreis;71605;6173;-;5827;54592;36719;17054;101;3127;168;7179;-;342;6837;433;446;9976;7964;529
01.01.2013;09676;Miltenberg, Landkreis;93882;7538;-;7187;76911;52153;23850;130;4211;144;4661;-;129;4532;431;617;13004;10281;188
01.01.2013;09677;Main-Spessart, Landkreis;101452;9015;-;8617;78555;51698;25545;142;4682;230;8559;-;223;8336;499;641;15329;12334;353
01.01.2013;09678;Schweinfurt, Landkreis;89820;8605;-;8216;70329;49097;19929;139;3311;338;6995;-;648;6347;441;832;14125;11225;1118
01.01.2013;09679;Würzburg, Landkreis;121375;11530;-;11151;96730;65708;29400;103;4494;211;8064;-;274;7790;454;966;14189;11038;421
01.01.2013;09761;Augsburg, kreisfreie Stadt;141143;9993;-;9766;122527;84727;35892;411;6454;187;1162;-;239;923;596;1285;10194;6541;255
01.01.2013;09762;Kaufbeuren, kreisfreie Stadt;25052;2056;-;1994;21605;14728;6606;59;955;24;311;-;16;295;66;318;2835;1848;53
01.01.2013;09763;Kempten (Allgäu), kreisfreie Stadt;41217;3484;-;3378;34834;22641;11740;76;1742;89;798;-;44;754;283;486;3742;2466;79
01.01.2013;09764;Memmingen, kreisfreie Stadt;27675;2010;-;1953;23462;15453;7762;18;1349;88;686;-;89;597;150;220;3231;2302;169
01.01.2013;09771;Aichach-Friedberg, Landkreis;99337;9938;-;9551;76044;51466;23616;130;4783;176;7968;-;291;7677;474;799;15568;12119;476
01.01.2013;09772;Augsburg, Landkreis;181634;17025;-;16446;144573;101112;41664;292;8024;404;10935;-;481;10454;785;1731;27058;20632;833
01.01.2013;09773;Dillingen an der Donau, Landkreis;75599;6639;-;6274;57489;39217;17593;61;3017;155;8022;-;324;7698;371;409;14059;11332;583
01.01.2013;09774;Günzburg, Landkreis;94798;8310;-;7891;73012;48345;23985;131;4289;236;8430;-;403;8027;626;528;16134;12810;680
