GENESIS-Tabelle: 46251-0006
Kraftfahrzeugbestand: Kreise, Stichtag, Kraftfahrzeugarten;;;;;;;;;;;;;;;;;;;;;
Statistik des Kraftfahrzeug- und Anhängerbestandes;;;;;;;;;;;;;;;;;;;;;
Kraftfahrzeugbestand (Anzahl);;;;;;;;;;;;;;;;;;;;;
;;;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten;Kraftfahrzeugarten
;;;Kfz insgesamt;Krafträder insgesamt;Leichtkrafträder;Motorräder;Pkw insgesamt;Pkw mit Ottomotor;Pkw mit Dieselmotor;Kraftomnibusse insgesamt;Lkw insgesamt;Lkw mit Spezialaufbau;Zugmaschinen insgesamt;Gewöhnliche Zugmaschinen;Sattelzugmaschinen;Ackerschlepper;Übrige Kfz;Wohnmobile;Kfz-Anhänger insgesamt;Kfz-Anhänger zur Lastenbeförderung;Sattelanhänger
01.01.2013;03256;Nienburg (Weser), Landkreis;89488;6811;-;6495;69913;49181;19238;274;4481;198;7359;-;825;6534;650;623;19404;15518;1207
01.01.2013;03257;Schaumburg, Landkreis;109018;8350;-;8126;91964;66944;23266;140;4305;233;3685;-;333;3352;574;737;17115;13256;442
01.01.2013;03351;Celle, Landkreis;119784;9572;-;9190;99278;69024;28697;167;5541;190;4401;-;343;4058;825;943;20812;16232;486
01.01.2013;03352;Cuxhaven, Landkreis;141581;11528;-;11035;113621;78854;32223;164;5982;237;9378;-;458;8920;908;1145;25210;19577;479
01.01.2013;03353;Harburg, Landkreis;177806;14618;-;14208;147416;99871;45243;104;7971;323;6797;-;816;5981;900;2102;28271;21580;2806
01.01.2013;03354;Lüchow-Dannenberg, Landkreis;37181;3097;-;2925;28094;18577;8698;93;1848;71;3769;-;198;3571;280;389;9109;7399;292
01.01.2013;03355;Lüneburg, Landkreis;110001;8606;-;8340;91947;61294;29312;178;4849;124;3796;-;332;3464;625;1091;17182;13086;423
01.01.2013;03356;Osterholz, Landkreis;78633;5925;-;5748;65306;46645;17215;101;3129;123;3792;-;123;3669;380;749;12882;9300;149
01.01.2013;03357;Rotenburg (Wümme), Landkreis;127919;9058;-;8605;98497;63933;32822;168;7536;612;11692;-;2150;9542;968;998;30843;25156;5000
01.01.2013;03358;Heidekreis;98185;8067;-;7725;78716;53605;23606;122;4937;193;5728;-;314;5414;615;818;17964;14110;431
01.01.2013;03359;Stade, Landkreis;136815;9834;-;9475;111009;77043;32365;224;6294;200;8742;-;767;7975;712;1439;23602;17461;1013
01.01.2013;03360;Uelzen, Landkreis;64069;5137;-;4915;51664;35961;15073;79;2964;75;3740;-;291;3449;485;510;12715;10347;476
01.01.2013;03361;Verden, Landkreis;94097;7066;-;6798;77779;54055;22447;89;4179;120;4515;-;506;4009;469;789;16369;11987;664
01.01.2013;03401;Delmenhorst, kreisfreie Stadt;43057;2980;-;2898;37738;28511;8456;59;1694;64;443;-;135;308;143;379;4883;3452;204
01.01.2013;03402;Emden, kreisfreie Stadt;25809;2084;-;2024;22002;15795;5674;62;1138;37;412;-;110;302;111;343;3370;2255;317
01.01.2013;03403;Oldenburg (Oldenburg), kreisfreie Stadt;91131;5847;-;5778;79752;52572;24994;102;4502;132;586;-;152;434;342;1006;10497;6689;256
01.01.2013;03404;Osnabrück, kreisfreie Stadt;87727;5179;-;5036;75915;51780;22769;160;4892;426;1110;-;478;632;471;514;8443;5877;736
01.01.2013;03405;Wilhelmshaven, kreisfreie Stadt;43254;3230;-;3163;37484;28108;8560;58;1941;53;360;-;56;304;181;462;4196;2851;66
